ID;TYPE;Author;Title;Year;Publisher;Journal;Note
Bel-FuzRelSys;BOOK;Radim B\\v{e}lohl\\'{a}vek;Fuzzy relational systems;2002;Kluwer Academic Publishers;;
Joh-ProbStaComSci;BOOK;James L. Johnson;Probability and Statistics for Computer Science;2003;John Willey \\& Sons, Inc.;;
Zad-ConLingVarAppApprRea;ARTICLE;Lotfi A. Zadeh;The Concept of a Linguistic Variable and its Application to Approximate Reasoning;1975;;Information Sciences;
Jan-FouFuzzContPracAppr;BOOK;Jan Jantzen;Foundations of Fuzzy Control: A Practical Approach;2013;John Wiley \\& Sons, Ltd.;;
Koz-AutComp;BOOK;Dexter C. Kozen;Automata and Computability;1999;Springer;;
HopUl-IntrAutTheLangComp;BOOK;John E. Hopcroft, Rajeev Motwani, Jeffrey D. Ullman;Introduction to Automata Theory, Languages, and Computation;1979;Addison-Wesley;;
GonGar-FuzzLangInfRanAccGuzzAutPumLemDetProc;ARTICLE;Jos\\'{e} R. Gonz\\'{a}lez de Mend\\'{i}vil, Jos\\'{e} R. Garitagoitia;Fuzzy languages with infinite range accepted by fuzzy automata: Pumping Lemma and determinization procedure;2014;;Fuzzy sets and systems;
MorMal-FuzzyAutLang;BOOK;John N. Mordeson, Davender S. Malik;Fuzzy Automata and Languages;2002;Chapman and Hall/CRC;;
AndAbdAsm-ApprPattMatcFuzzLog;ARTICLE;Gabriela Andrejkov\\'{a}, Abdulwahed Almarimi, Asmaa Mahmoud;Approximate Pattern Matching using Fuzzy Logic;2013;;CEUR Workshop Proceedings Vol. 1003;
SnaKepAbrHas-AproxStriMatchFuzzAut;ARTICLE;V\\'{a}clav Sn\\'{a}\\v{s}el, Ale\\v{s} Keprt, Ajith Abraham, Aboul E. Hassanien;Approximate String Matching by Fuzzy Automata;2009;;Man-Machine Interactions;
StaCir-ConsFuzzAutFuzzRegExp;ARTICLE;Aleksandar Stamenkovi\\'{c}, Miroslav \\'{C}iri\\'{c};Construction of fuzzy automata from fuzzy regular expressions;2012;;Fuzzy sets and systems;
AstGariGonVillFar-ApprStrMatUsiDefFuzzAutLearExpr;ARTICLE;J. J. Astrain, J. R. Garitagoitia, J. R. Gonzalez De Mend\\'{i}vil, J. Villadangos, F. Fari\\~{n}a;Approximate String Matching Using Deformed Fuzzy Automata: A Learning Experience;2004;;Fuzzy Optimization and Decision Making;
DooKre-NewDirFuzzAut;ARTICLE;Mansoor Doostfatemeh, Stefan C. Kremer;New directions in fuzzy automata;2005;;International Journal of Approximate Reasoning;
IgnCirBog-DetFuzAutMemValComResLat;ARTICLE;Jelena Ignjatovi\\'{c}, Miroslav \\'{c}iri\\'{c}, Stojan Bogdanovi\\'{c};Determinization of fuzzy automata with membership values in complete residuated lattices;2018;;Information Sciences;
SebJoh-InvFuzzAutInvFuzzLang;ARTICLE;Pamy Sebastian, T. P. Johnson;Inverse fuzzy automata and inverse fuzzy languages;2013;;Annals of Fuzzy Mathematics and Informatics;
Bel-DetFuzAut;ARTICLE;Radim B\\v{e}lohl\\'{a}vek;Determinism and fuzzy automata;2002;;Information Sciences;
Rab-ProbAut;ARTICLE;Michael O. Rabin;Probabilistic Automata;1963;;Information and Control;
San-ReaFuzLanProMaxMaxAut;ARTICLE;Eugene E. Santos;Realizations of Fuzzy Languages by Probabilistic, Max-Product, and Maximin Automata;1975;;Information Sciences;
LiLiLi-RelAmoSevTypFuzAut;ARTICLE;Zhihui Li. Ping Li, Yongming Li;The relationships among several types of fuzzy automata;2006;;Information Sciences;
San-MaxAut;ARTICLE;Eugene E. Santos;Maxmin automata;1968;;Information and Control;
BlaDelPeg-FuzzAutIndUsNeuNet;ARTICLE;A. Blanco, M. Delgado, M.C. Pegalajar;Fuzzy automaton induction using neural network;2001;;International Journal of Approximate Reasoning;
PedGac-LeaFuzzAut;ARTICLE;Witold Pedrycz, Adam Gacek;Learning of fuzzy automata;2001;;International Journal of Computational Intelligence and Applications;
BlaDelPeg-FuzzGraIntUsiNeuNet;ARTICLE;A. Blanco, M. Delgado, M.C. Pegalajar;Fuzzy gramatical inference using neural network;1998;;Mathware \\& Soft computing;
CheMo-MinAlgFuzFinAut;ARTICLE;Wei Cheng, Zhi-Wen Mo;Minimization algorithm of fuzzy finite automata;2004;;Fuzzy sets and systems;
ThoMar-DetAccRegFuzLang;ARTICLE;Michael, G. Thomason, Peter N. Marinos;Deterministic Acceptors of Regular Fuzzy Languages;1974;;IEEE Transactions on Systems, Man, and Cybernetics;
Qiu-ChaFuzFinAut;ARTICLE;Daowen Qiu;Characterizations of fuzzy finite automata;2004;;Fuzzy sets and systems;
AlvJoaCru-FuStMaAppEmoModEleGamCha;ARTICLE;Leandro G. M. Alvim, Adriano Joaquim de Oliveira Cruz;A Fuzzy State Machine Applied to an Emotion Model for Electronic Game Characters;2008;;EEE International Conference on Fuzzy Systems;
TriHei-ExpDesSeqFuzPer;ARTICLE;Gracian Trivino, Albert van der Heide;An experiment on the description of sequences of fuzzy perceptions;2008;;Eighth International Conference on Hybrid Intelligent Systems;
TzaRig-StaAnaAdaFuzzConSysUsiPetrNetLeaAut;ARTICLE;S.G. Tzafestas, G.G. Rigatos;Stability analysis of an adaptive fuzzy control system using Petri Nets and learning automata;2000;;Mathematics and Computers in Simulation;
BucPas-FuzPusAut;ARTICLE;Irina Bucurescu, Anca Pascu;Fuzzy Pushdown Automata;1981;;International Journal of Computer Mathematics;
Com+-TreeAutTecApp;BOOK;Hubert Comon, Max Dauchet, R\\'{e}mi Gilleron, Christof L\\"{o}ding;Tree Automata Techniques and Applications;2008;;;Dostupn\\'{e} online na \\url{http://www.grappa.univ-lille3.fr/tata}
Hua-SyntPattRecSeisOilExp;BOOK;Kou-Yuan Huang;Syntactic Pattern Recognition for Seismic Oil Exploration;2002;World Scientific Publishing;;
Bez+-FuzModAlgPatRecImProc;BOOK;James C. Bezdek, James Keller, Raghu Krisnapuram, Nikhil R. Pal;Fuzzy models and algorithms for pattern recognition and image processing;1999;Springer;;
Lee-FuzTreAutSynPatRec;ARTICLE;Edward T. Lee;Fuzzy Tree Automata and Syntactic Pattern Recognition;1982;;IEEE Transactions on Pattern Analysis and Machine Intelligence;
MogZadAme-NewDirInFuzzTreeAut;ARTICLE;S. Moghari, M. M. Zadehi, R. Ameri;New direction in fuzzy tree automata;2011;;Iranian Journal of Fuzzy Systems;
ChaJos-NoteFuzzTreeAut;ARTICLE;S. R. Chaudhari, Mukta N. Joshi;A Note on Fuzzy Tree Automata;2012;;International Journal of Computer Applications;
EsiLiu-FuzzTreeAut;ARTICLE;Zolt\\'{a}n \\'{E}sik, Guangwu Liu;Fuzzy tree automata;2007;;Fuzzy Sets and Systems;
Wol-NewKinSci;BOOK;Stephen Wolfram;A new kind of science;2002;Wolfram Media;;
Wol-CelAut;BOOK;Stephen Wolfram;Cellular Automata and Complexity: Collected Papers;1994;Wolfram Media;;
BatXie-CellCity;ARTICLE;M. Batty, Y. Xie;From cells to cities;1994;;Environment and Planning B: Planning and Design;
Wu-ExpGenPolUrbGroCelAutCit;ARTICLE;F. Wu;An experiment on the generic polycentricity of urban growth in a cellular automatic city;1998;;Environment and Planning B: Planning and Design;
For-FuzCelAutConjNormForm;MASTERSTHESIS;David M. Forrester;Fuzzy Cellular Automata in Conjunctive Normal Form;2011;Universit\\'{e} d'Ottawa;;
TofMar-CelAuMach+;BOOK;Tommaso Toffoli, Norman Mangolus;Cellular automata machines;1985;MIT Press;;
MraZimLapBaj-FuzCelAut+;ARTICLE;M. Mraz, N. Zimic, I. Lapanja, I. Bajec;Fuzzy Cellular Automata: From Theory to Applications;2000;;Tools with Artificial Intelligence;
RamGir-ConvFinAutFuzzAutStrComp;ARTICLE;V. Ramaswamy, H. A. Girijamma;Conversion of Finite Automata to Fuzzy Automata for String Comparison;2012;;International Journal of Computer Applications;
Ech-DefSyssConPre;ARTICLE;Javier Echanobe, Jos\\'{e} R. Gonz\\'{a}lez de Mend\\'{i}vil, Jos\\'{e} R. Garitagoitia, Carlos F. Alastruey;Deformed systems for contextual postprocessing;1996;;Fuzzy Sets and Systems;
Ast+-FuzzAutEpsMovCmpFuzzMeasBtwStrs;ARTICLE;J. J. Astrain, Jos\\'{e} R. Gonz\\'{a}lez de Mend\\'{i}vil, Jos\\'{e} R. Garitagoitia;Fuzzy automata with $\\epsilon$-moves compute fuzzy measures between strings;2006;;Fuzzy Sets and Systems;
FuLi-ForLeaAutAutGam;ARTICLE;K. S. Fu, T. J. Li;Formulation of learning automata and automata Games;1969;;Information Sciences;
WeeFu-FormFuzAutAppModLeaSys;ARTICLE;William G. Wee, K. S. Fu;A formulation of fuzzy automata and its application as a model of learning systems;1969;;IEEE transactions on systems science and cybernetics;
GilOmlTho-EquKnoRep+;ARTICLE;C. Lee Giles, Christian W. Omlin, Karvel K. Thornber;Equivalence in Knowledge Representation: Automata, Recurrent Neural Networks, and Dynamical Fuzzy Systems;1999;;Proceedings of the IEEE;
PatMor-EdgDetTecFuzzLogCEllLeaAutFuzzImPro;ARTICLE;Dhiraj Kumar Patel, Sagar A. More;Edge Detection Technique by Fuzzy Logic and Cellular Learning Automata using Fuzzy Image Processing;2013;;International Conference on Computer Communication and Informatics;
MarMeySol-HybMetGasDifModFuzCelAutImSha;ARTICLE;F. Mahdavifard, M. R. Meybodi;A Hybrid Method based on Gas Diffusion Model and Fuzzy Cellular Automata for Image Sharpening;2007;;International Conference on Electrical Engineering;
SinGha+HybrEdgDetMetFuzSetTheCelLeaAut;ARTICLE;Saman Sinaie, Afshin Ghanizadeh, Siti Mariyam Shamsuddin, Emadaldin Mozafari Majd;A Hybrid Edge Detection Method Based on Fuzzy Set Theory and Cellular Learning Automata;2009;;International Conference on Computational Science and Its Applications;
ZhiMinLan-EvoStraIndFuFiStaAu;ARTICLE;Mo Zhiwen, Wan Min, Shu Lan;An evolution strategy for the induction of fuzzy finite-state automata;2005;;IEEE International Conference on Granular Computing;
FieRus-HanNeuCom;BOOK;Emile Fiesler, Russell Beale;Handbook of Neural Computation;1997;Institute of physics publishing, Oxford university press;;
DarAhmSin-AppFuzzAutTheKnBsNeuNetDevBasLeaMod;ARTICLE;Manuj Darbari, Hasan Ahmed, Vivek Kr. Singh;Application of Fuzzy Automata Theory and Knowledge Based Neural Networks for Development of Basic Learning Model;2011;;Computer Technology and Application;
OmlThoGil-FuzzFinStaAutCanDetEncIntRecNeuNet;ARTICLE;Christian W. Omlin, Karvel K. Thornber, C. Lee Giles;Fuzzy Finite-State Automata Can Be Deterministically Encoded into Recurrent Neural Networks;1998;;IEEE transactions on fuzzy systems;
OmlThoGil-RepFuzFinStaAuConRecNeuNet;ARTICLE;Christian W. Omlin, Karvel K. Thornber, C. Lee Giles;Representation of Fuzzy Finite State Automata in Continuous Recurrent Neural Networks;1996;;IEEE International Conference on Neural networks;
UnaKha-FuzDFinStaMachImpBasNeuFuzSys;ARTICLE;Fatih A. Unal, Emdad Khan;A Fuzzy Finite State Machine Implementation Based on a Neural Fuzzy System;1994;;Proceedings of 1994 IEEE 3rd International Fuzzy Systems Conference;
BlaDelFlo-MethIndFuzzAutUsNeuNet;ARTICLE;A. Blanco, M. Delgado, M. C. Pegalajar;A Method to Induce Fuzzy Automata using Neural Networks;2001;;Proceedings Joint 9th IFSA World Congress and 20th NAFIPS International Conference;
Gar+-DefFuzAutCorImpStrFuzSym;ARTICLE;J. R. Garitagoitia, J. R. Gonzalez De Mend\\'{i}vil, J. Echanobe, J. J. Astrain, F. Fari\\~{n}a ;Deformed Fuzzy Automata for Correcting Imperfect Strings of Fuzzy Symbols;2003;;IEEE transactions on fuzzy systems;
Ast+-ImpStrMaExpUsDefFuzAut;ARTICLE;J. J. Astrain, J. R. Garitagoitia, J. Villadangos, F. Fari\\~{n}a, J. R. Gonzalez De Mendivil;An imperfect string matching experience using deformed fuzzy automata;2004;;Fuzzy Optimization and Decision Making;
SetWar-FuzzAutPattMatc;BOOK;C. B. Setzer, N. A. Warst;Fuzzy automata and pattern matching;1986;NASA Langley research center;;
HigOnc-ComMosProStrProFiStaMa;ARTICLE;Colin de la Higuera, Jose Oncina;Computing the Most Probable String with a Probabilistic Finite State Machine;2013;;Proceedings of the 11th International Conference on Finite State Methods and Natural Language Processing;
Mar+-ProAriAutApp;ARTICLE;Tobias Marschall, Inke Herms, Hans-Michael Kaltenbach, Sven Rahmann;Probabilistic Arithmetic Automata and Their Applications;2012;;IEEE/ACM Transactions on Computational Biology and Bioinformatics;
Her-ProAriAutAppSoComFraBioSeqAna;PHDTHESIS;Inke Herms;Probabilistic Arithmetic Automata;2009;Faculty of Technology, Bielefeld University, Germany;;
YorSinTis-PowAmnLeaPrAuVarMemLen;ARTICLE;Dana Ron, Yoram Singer, Naftali Tishby;The Power of Amnesia: Learning Probabilistic Automata with Variable Memory Length;1996;;Machine Learning;
Ron-AutLeaApp;PHDTHESIS;Dana Ron;Automata Learning and its Applications;1995;Hebrew University;;
MohPerRoe-WeiFinStaTraSpeRec;ARTICLE;Mehryar Mohri, Fernando Pereira, Michael Riley;Weighted finite-state transducers in speech Recognition;2002;;Computer Speech and Language;
BahJel-DecChaWinDelSubApSpeRec;ARTICLE;Lalit R. Bahr, Frederick Jelinek;Decoding for Channels with Insertions, Deletions, and Substitutions with Applications to Speech Recognition;1975;;IEEE transactions on information theory;
MatSalSalYu-LexAnaSimFinFuzAutMod;ARTICLE;Alexandru Mateescu, Arto Salomaa, Kai Salomaa, Sheng Yu;Lexical Analysis with a Simple Finite-Fuzzy-Automaton Model;1995;;Journal of Universal Computer Science;
KniGra-OvProTreTraNatLanPro;ARTICLE;Kevin Knight, Jonathan Graehl;An Overview of Probabilistic Tree Transducers for Natural Language Processing;2005;;Proceedings of the Sixth International Conference on Intelligent Text Processing and Computational Linguistics;
WaMan-ProFiStMaRegBaMTEva;ARTICLE;Mengqiu Wang, Christopher D. Manning;Probabilistic Finite State Machines for Regression-based MT Evaluation;2012;;Proceedings of the 2012 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning;
Hun-NoLiTexSeaUsFuFiStLiNoDetAut;MISC;Kenneth M. Hunter, ;Non-literal textual search using fuzzy finite-state linear nondeterministic automata;2000;;;
Kra+-BibMeExUsiPrFiStTra;ARTICLE;Martin Kr\\"{a}mer, Hagen Kaprykowsky, Daniel Keysers, Thomas Breuel;Bibliographic Meta-Data Extraction Using Probabilistic Finite State Transducers;2007;;Ninth International Conference on Document Analysis and Recognition;
MukRay-StaSplMerProbFiStaAuSigRepAna;ARTICLE;Kushal Mukherjee, Asok Ray;State Splitting \\& Merging in Probabilistic Finite State Automata for Signal Analysis and Representation;2014;;Signal processing;
Rig-FauDetIsoBasFuzzAut;ARTICLE;Gerasimos G. Rigatos;Fault detection and isolation based on fuzzy automata;2009;;Information Sciences;
BaiTri-PattRecUsiTemFuzzAut;ARTICLE;Gonzalo Bailador, Graci\\'{a}n Trivi\\~{n}o;Pattern recognition using temporal fuzzy automata;2010;;Fuzzy Sets and Systems;
KemAda-SeqPatRecEmpRecFuzSys;ARTICLE;Roland Kempf, J\\"{u}rgen Adamy;Sequential pattern recognition employing recurrent fuzzy systems;2004;;Fuzzy Sets and Systems;
ManPra-PriPatDetUsFiStMaFuzTra;ARTICLE;Kraimon Maneesilp, Chutima Prasartkaew;Price Pattern Detection using Finite State Machines with Fuzzy Transitions;2014;;International Conference on e-Business Engineering;
Jin+-WavBasFeaExtUsPrFiStAuPatCla;ARTICLE;Xin Jin, Shalabh Gupta, Kushal Mukherjee, Asok Ray;Wavelet-based feature extraction using probabilistic finite state automata for pattern classification;2010;;Pattern Recognition;
Tho-FinFuzzAutRegFuzLangPatRec;ARTICLE;M. G. Thomason;Finite Fuzzy Automata, Regular Fuzzy Languages, and Pattern Recognition;1973;;Pattern Recognition;
ForBel-GenMusAccUsFinStaTra;ARTICLE;Jonathan P. Forsyth, Juan P. Bello;Generating Musical Accompaniment Using Finite State Transducers;2013;;Proceedings of the 16th Int. Conference on Digital Audio Effects;
OliWag-ComMusNeuNetProFiStMa;ARTICLE;Tomasz Oliwa, Markus Wagner;Composing Music with Neural Networks and Probabilistic Finite-State Machines;2008;;Workshops on Applications of Evolutionary Computation;
Cha-ExeFuzProUsFiStaMa;ARTICLE;Shi-Kuo Chang;On the execution of Fuzzy programs using Finite-State Machines;1972;;IEEE transactions on computers;
Hac+-ProAnaLarFinStaMac;ARTICLE;Gary D. Hachtel, Enrico Macii,  Abelardo Pardo, Fabio Somenzi;Probabilistic Analysis of Large Finite State Machines;1994;;Proceedings of the 31st annual Design Automation Conference;
