-- initial wave,, ,, ,
ok,MorMal-FuzzyAutAndLang, ,"Mordeson, John N. and Malik, Davender S.", ,Fuzzy Automata and Languages: Theory and Applications
ok,Kov-ReasFuzzAutInUsrAdpSyss, ,Szilveszter Kovács, ,Fuzzy Reasoning and Fuzzy Automata in User Adaptive Systems
ok,DarAhmSin-AppFuzzAutTheKnBsNeuNetDevBasLeaMod, ,"Manuj Darbari, Hasan Ahmed and Vivek Kr. Singh", ,Application of Fuzzy Automata Theory and Knowledge Based Neural Networks for Development of Basic Learning Model
ok,WeeFu-FormFuzAutAppModLeaSys, ,"William G. Wee, K. S. Fu", ,A Formulation of Fuzzy Automata and Its Application as a Model of Learning Systems
not found,BruFu-ModFinStaProSys, ,"G. D. Bruce, K. S. Fu", ,A model for Finite-state probabilistic systems
ok,Fu-SynMethPattRec, ,K. S. Fu, ,Syntactic Methods in Pattern Recognition
ok,Paz-IntProbAut, ,A. Paz, ,Introduction to Probabilistic Automata
ok,DooKre-NewDirFuzzAut, ,"M. Doostfatemeh, S. C. Kremer", ,New directions in fuzzy automata
ok,SupBisAkh-AppIntFuzzSetMedDiag, ,"Supriya Kumar De, Ranjit Biswas, Akhil Ranjan Roy", ,An application of intuitionistic fuzzy sets in medical diagnosis
not found,GuSar-FuzAutDecPro, ,"Madan M. Gupta, George N. Saridis", ,Fuzzy automata and decision processes
ok,LiPed-FuzzFinAutFuzzRegExMembValLattOrdMon, ,"Yongming Li, Witold Pedrycz", ,Fuzzy finite automata and fuzzy regular expressions with membership values in lattice-ordered monoids
not found,LeeLee-FuzNeuNet, ,"Samuel C. Lee, Edward T. Lee", ,Fuzzy Neural Networks
ok,LiPed-MinLattFinAutAppDecoLattLang, ,"Yongming Li, Witold Pedrycz", ,Minimization of lattice finite automata and its application to the decomposition of lattice languages
ok,Bel-DetAndFuzzAut, ,R. B?lohlávek, ,Determinism and fuzzy automata
not found,DPYau-FraFuzGraAppPatRec, ,"G.F. DePalma, S.S. Yau", ,FRACTIONALLY FUZZY GRAMMARS WITH APPLICATION TO PATTERN RECOGNITION
ok,GonGar-FuzzLangInfRanAccGuzzAutPumLemDetProc, ,"José R. González de Mendívil, José R. Garitagoitia", ,Fuzzy languages with infinite range accepted by fuzzy automata: Pumping Lemma and determinization procedure
not found,KanLee-FuzSwiAutTheApp, ,Abraham Kandel and Samuel C. Lee, ,Fuzzy Switching and Automata: Theory and Applications
ok,RamGir-ConvFinAutFuzzAutStrComp, ,"Dr. V. Ramaswamy, H. A. Girijamma", ,Conversion of Finite Automata to Fuzzy Automata for String Comparison
not found,Nej+-FuzCelLeaAutLesDecRetIm, ,"Nejad, Hadi Chahkandi; Azadbakht, Bakhtiar; Adenihvand, Karim; Mohammadi, Mohammad; Mirzamohammad, Mahsa", ,Fuzzy cellular learning automata for lesion detection in retina images
ok,WuPanHan-FuzzAutSysAppTarRecBasImaProc, ,"Qing-E Wu, Xue-Min Pang, Zhen-Yu Han", ,Fuzzy automata system with application to target recognition based on image processing
ok,StaCir-ConsFuzzAutFuzzRegExp, ,"Stamenkovic, Aleksandar; Ciric, Miroslav", ,Construction of fuzzy automata from fuzzy regular expressions
